,City Name,City ID,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
306,Jumla,1283285,29.2747,82.1838,49.69,90,97,2.93
307,Whitehorse,6180550,60.7161,-135.0538,45.46,42,75,9.22
308,Havre-St-Pierre,5972291,50.2334,-63.5986,48.2,76,1,13.8
309,Iqaluit,5983720,63.7506,-68.5145,33.39,86,75,14.97
310,Oleksandrivka,713676,46.8383,32.7612,58.1,67,0,11.18
311,San Patricio,4726521,28.017,-97.5169,74.03,88,90,3.44
312,Amnat Charoen,1906689,15.9167,104.75,79.43,67,16,5.32
313,Atar,2381334,20.5169,-13.0499,91.26,15,3,11.61
314,Gao,2457161,16.6362,1.637,100.04,7,5,7.76
315,Salalah,286621,17.0151,54.0924,84.2,84,75,5.75
316,Tiksi,2015306,71.6872,128.8694,30.49,79,95,3.0
317,Puerto Escondido,3520994,15.85,-97.0667,86.0,74,40,10.16
318,Mana,3381041,5.6592,-53.7767,75.88,93,98,7.92
319,Yantal',2055868,56.8471,105.2542,35.17,92,100,3.91
320,Santa Vitória Do Palmar,3449747,-33.5189,-53.3681,71.04,44,2,5.84
321,Norman Wells,6089245,65.282,-126.8329,37.4,52,20,4.61
322,Saint-Joseph,6690296,-21.3667,55.6167,72.34,78,0,4.61
323,Mangan,1263776,27.5167,88.5333,67.93,63,82,6.38
324,Wanaka,2184707,-44.7,169.15,43.97,88,78,0.54
325,Anadyr,2127202,64.75,177.4833,17.26,79,40,8.95
326,Nchelenge,175499,-9.3451,28.734,71.35,85,90,3.06
327,Lewisporte,6053446,49.2499,-55.0482,50.5,50,75,10.36
328,Los Reyes Acaquilpan,3523908,19.35,-98.9667,75.09,41,20,1.48
329,Dehlorān,136702,32.6941,47.2679,89.29,15,0,7.34
330,San Andrés,3670218,12.5847,-81.7006,86.0,66,40,9.22
331,Torres,3446295,-29.3353,-49.7269,71.31,64,0,12.26
332,Esil,1524296,51.9556,66.4042,48.88,50,61,12.24
333,Soma,300371,39.1855,27.6094,75.65,50,0,8.05
334,Kutum,371745,14.2,24.6667,84.83,13,17,8.34
335,Arys,1526168,42.4252,68.795,60.8,88,75,4.47
336,Namatanai,2090021,-3.6667,152.4333,78.44,80,35,3.65
337,Dauriya,2025099,49.9333,116.8667,32.85,85,58,6.15
338,Pudozh,504269,61.8099,36.5345,36.12,63,12,3.69
339,Messíni,257152,37.0511,22.0078,68.0,56,0,1.23
340,Manta,3654410,-0.95,-80.7333,80.6,83,75,4.61
341,Towada,2129211,40.6127,141.2067,46.99,84,38,7.0
342,Aliaga,1731529,15.5167,120.8667,80.6,83,75,4.61
343,Astoria,5711847,46.1879,-123.8313,54.32,94,90,9.22
344,Norwalk,5377995,33.9022,-118.0817,82.08,32,1,3.44
345,Port Hardy,6111862,50.6996,-127.4199,51.1,82,75,3.44
346,Greenville,4469160,35.6127,-77.3663,78.89,29,1,11.5
347,Belaya Gora,2126785,68.5333,146.4167,22.87,90,100,9.35
348,Cocentaina,2519382,38.7398,-0.4398,62.6,70,90,10.0
349,Chumikan,2025256,54.7183,135.315,28.33,98,100,7.16
350,Istanbul,745042,41.0351,28.9833,67.87,68,0,4.61
351,Duluth,5024719,46.7833,-92.1066,48.4,32,1,8.05
352,Lichinga,1043893,-13.3128,35.2406,68.0,83,20,6.91
353,Ulaanbaatar,2028462,47.9077,106.8832,28.4,80,40,2.24
354,Ayan,2027316,56.45,138.1667,30.31,97,100,14.61
355,Manacapuru,3663529,-3.2997,-60.6206,82.4,78,40,6.91
356,Muravlenko,1540711,63.7898,74.523,30.52,95,100,17.4
357,Tabou,2281120,4.423,-7.3528,82.45,75,97,7.34
358,Menongue,3347353,-14.6585,17.691,65.39,82,85,5.17
359,Shādegān,116102,30.6497,48.6647,86.81,61,0,9.22
360,Leningradskiy,2123814,69.3833,178.4167,15.4,87,94,19.3
361,Seybaplaya,3516685,19.65,-90.6667,91.4,49,20,14.97
362,Cody,5821593,44.5263,-109.0565,70.66,21,1,11.5
363,Channel-Port Aux Basques,5919815,47.5702,-59.1367,39.63,85,97,22.46
364,Shingū,1847947,33.7333,135.9833,52.0,65,0,5.97
365,Namanyere,151986,-7.5167,31.05,61.79,94,60,4.09
366,Nuuk,3421319,64.1835,-51.7216,32.0,100,40,17.27
367,Torbay,6167817,47.6666,-52.7314,48.2,61,75,16.11
368,Santo Tomas,1687534,14.1079,121.1414,81.77,78,75,3.44
369,Champerico,3598787,14.3,-91.9167,86.0,62,40,6.91
370,Newport,2641598,51.5877,-2.9984,50.0,65,66,1.01
371,Salisbury,2638664,51.0693,-1.7957,44.89,71,75,11.5
372,Mahibadhoo,1337605,3.7833,72.9667,83.77,64,7,3.11
373,Saint-Pierre,935214,-21.3393,55.4781,73.08,78,0,4.61
374,Constitución,3893726,-35.3333,-72.4167,59.32,78,100,11.63
375,Sheltozero,494970,61.3667,35.3667,35.01,68,99,1.32
376,Marawi,1701054,7.9986,124.2928,77.0,88,83,4.0
377,Kwinana,2068079,-32.25,115.7667,57.74,88,90,9.08
378,Fallon,5503914,39.4735,-118.7774,76.05,19,75,5.75
379,Nova Petrópolis,3456127,-29.3764,-51.1144,72.66,34,0,1.01
380,Huilong,1806840,31.8111,121.655,64.6,68,95,11.72
381,Ploemeur,2986732,47.7333,-3.4333,55.27,47,90,4.61
382,Palmer,4946620,42.1584,-72.3287,56.41,58,75,18.41
383,Laguna,5364271,38.421,-121.4238,69.57,48,1,4.61
384,Yulara,6355222,-25.2406,130.9889,53.6,40,84,4.61
385,Ullapool,2635199,57.8987,-5.1604,44.01,70,99,4.0
386,Udachny,2014624,66.4167,112.4,26.08,99,100,3.76
387,Bodh Gaya,1275389,24.7,84.9833,89.6,37,75,3.44
388,Baiyin,1817240,36.5583,104.2081,50.0,50,0,6.71
389,Flin Flon,5954718,54.7682,-101.865,42.8,36,90,6.91
390,Pueblo,5435464,38.2545,-104.6091,74.37,21,1,4.61
391,Seoul,1835848,37.5683,126.9778,50.58,81,90,2.3
392,Sibolga,1213855,1.7427,98.7792,77.02,87,100,3.8
393,Askiz,1511304,53.1319,90.5264,43.99,82,100,4.23
394,Nabire,1634614,-3.3667,135.4833,75.18,90,73,3.53
395,Kahului,5847411,20.8947,-156.47,68.36,100,90,12.66
